movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
77711,Код Да Винчи,7.395,149,98626.0,2006,6.5,287769.0,"триллер, детектив","США, Мальта, Франция, Великобритания",$125 000 000,25.0,The Da Vinci Code
1944,Соединенные штаты Лиланда,7.395,108,8626.0,2003,7.2,19142.0,"драма, мелодрама, криминал",США,,34.0,The United States of Leland
86193,Тайны Смолвиля (сериал 2001 – 2011),7.394,43,39478.0,2001,7.5,91772.0,"фантастика, драма, мелодрама, приключения","США, Канада",,,Smallville
5221,Ронин,7.394,122,14183.0,1998,7.3,139722.0,"боевик, триллер, криминал, приключения","Великобритания, Франция, США",$55 000 000,68.0,Ronin
195460,Неуправляемый,7.392,94,48045.0,2010,6.8,146172.0,триллер,США,$100 000 000,86.0,Unstoppable
427202,Из Парижа с любовью,7.392,89,65123.0,2009,6.5,95931.0,"боевик, триллер, комедия, криминал",Франция,$52 000 000,37.0,From Paris with Love
86314,Кровь за кровь,7.391,109,13285.0,2005,6.9,104086.0,"боевик, триллер, драма, криминал, детектив",США,$45 000 000,53.0,Four Brothers
22803,Великолепный,7.391,96,6582.0,1999,6.1,8496.0,"боевик, драма, мелодрама, комедия","Гонконг, Тайвань",,,Boh lei chun
462336,Смерть супергероя,7.39,93,3316.0,2011,7.1,2223.0,"драма, мультфильм","Германия, Ирландия",€3 800 000,89.0,Death of a Superhero
465,Торжество,7.39,105,4096.0,1998,8.1,63489.0,драма,"Дания, Швеция",$1 300 000,92.0,Festen
427887,Поп,7.39,124,9809.0,2009,7.1,906.0,"драма, военный",Россия,,,
9513,Майкл,7.389,105,8427.0,1996,5.6,34077.0,"фэнтези, драма, комедия",США,,36.0,Michael
468572,Безродные звери,7.389,137,3957.0,2015,7.8,33637.0,"драма, военный",США,$6 000 000,91.0,Beasts of No Nation
427306,Люби и танцуй,7.388,118,3310.0,2009,5.0,659.0,мелодрама,Польша,PLN 5 459 115,,Kochaj i tancz
6804,Большие надежды,7.388,111,7232.0,1998,6.8,41913.0,"драма, мелодрама",США,$25 000 000,36.0,Great Expectations
3958,Поворот,7.387,119,8447.0,1997,6.8,40950.0,"триллер, драма, комедия, криминал","Франция, США",$19 000 000,60.0,U Turn
40882,Окно в Париж,7.387,120,5373.0,1993,7.4,1090.0,"фантастика, фэнтези, драма, комедия","Россия, Франция",,43.0,
2990,Ночи в стиле буги,7.386,155,10024.0,1997,7.9,179302.0,"драма, биография",США,$15 000 000,92.0,Boogie Nights
4572,База «Клейтон»,7.386,98,10747.0,2003,6.5,47533.0,"боевик, триллер, драма, криминал, детектив","США, Германия",$50 000 000,21.0,Basic
840818,Чемпионы: Быстрее. Выше. Сильнее,7.385,100,6004.0,2016,6.1,81.0,"спорт, драма",Россия,90 000 000 руб.,,
257825,Кушать подано!,7.385,85,3599.0,2005,7.0,29.0,комедия,Украина,,,
687812,Записки юного врача (сериал 2012 – ...),7.385,24,13211.0,2012,8.0,9676.0,"драма, комедия",Великобритания,,,A Young Doctor's Notebook
40994,Американка,7.383,90,3142.0,1997,6.9,131.0,мелодрама,Россия,,,
7101,Мыс страха,7.382,128,13546.0,1991,7.3,120097.0,"триллер, криминал",США,$35 000 000,,Cape Fear
557955,Черное золото,7.382,130,7199.0,2011,6.7,8722.0,"драма, приключения, военный","Франция, Италия, Катар, Тунис",€40 000 000,13.0,Black Gold
740644,Ярость,7.381,134,70202.0,2014,7.6,284444.0,"боевик, драма, военный","США, Китай, Великобритания",$68 000 000,77.0,Fury
70952,72 метра,7.381,115,20526.0,2004,6.7,1062.0,"боевик, триллер, драма",Россия,$1 600 000,,
464639,Вы не знаете Джека (ТВ),7.381,134,4757.0,2010,7.7,21214.0,"драма, биография",США,$18 000 000,,You Don't Know Jack
577211,Несломленный,7.38,137,29695.0,2014,7.2,87634.0,"драма, военный, биография, спорт",США,$65 000 000,51.0,Unbroken
104926,"Прощай, детка, прощай",7.38,114,19898.0,2007,7.7,178062.0,"триллер, драма, криминал, детектив",США,$19 000 000,94.0,Gone Baby Gone
696154,Большая афера,7.379,113,14999.0,2013,7.0,9853.0,"комедия, драма",Канада,$12 700 000,59.0,The Grand Seduction
180153,Лэсси,7.379,100,3469.0,2005,6.7,3077.0,"драма, комедия, приключения, семейный","США, Франция, Ирландия, Великобритания",,93.0,Lassie
430519,Немыслимое,7.377,97,23329.0,2009,7.1,70173.0,"триллер, драма",США,$15 000 000,,Unthinkable
1956,Рок-звезда,7.377,105,10703.0,2001,6.2,32943.0,"драма, комедия, музыка",США,$57 000 000,52.0,Rock Star
535266,Бэтмен: Год первый (видео),7.377,64,3954.0,2011,7.4,17156.0,"мультфильм, боевик, криминал",США,$3 500 000,86.0,Batman: Year One
1596,Разбирая Гарри,7.376,92,3549.0,1997,7.4,34165.0,комедия,США,$20 000 000,71.0,Deconstructing Harry
79544,Забавные игры,7.375,108,8723.0,1997,7.6,41274.0,"ужасы, триллер, драма, криминал",Австрия,,63.0,Funny Games
6803,Дитя человеческое,7.374,104,53865.0,2006,7.9,349459.0,"фантастика, триллер, драма","США, Великобритания",$76 000 000,92.0,Children of Men
676266,Первый мститель: Другая война,7.373,136,89553.0,2014,7.8,422419.0,"фантастика, боевик, приключения",США,$170 000 000,89.0,Captain America: The Winter Soldier
48552,Венецианский купец,7.373,131,4561.0,2004,7.1,28962.0,"драма, мелодрама","Великобритания, Люксембург, Италия",$30 000 000,72.0,The Merchant of Venice
251797,Манолете,7.373,92,3048.0,2008,5.6,2001.0,"драма, мелодрама, биография","Испания, Великобритания, Франция, США, Германия",€ 28 000 000,,Manolete
290831,Рождественский коттедж (видео),7.373,105,3039.0,2008,6.5,1686.0,"драма, биография","США, Канада",,,Christmas Cottage
