movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
271964,Новый день (сериал),7.796,43,5101.0,2006,8.2,6545.0,"фантастика, боевик, триллер, драма",США,,,Day Break
271970,Тюдоры (сериал 2007 – 2010),8.003,53,15597.0,2007,8.1,46025.0,"драма, мелодрама, военный, история","Ирландия, Канада, США",,,The Tudors
271976,Дерзкие дни,3.905,84,5352.0,2007,3.3,57.0,"комедия, криминал",Россия,,,
271997,Блондинка с амбициями,3.867,92,3121.0,2007,3.8,4860.0,"мелодрама, комедия",США,$10 000 000,14.0,Blonde Ambition
271999,Запретное царство,7.122,100,20986.0,2008,6.6,84147.0,"фэнтези, боевик, мелодрама, приключения","США, Китай",$55 000 000,64.0,The Forbidden Kingdom
272002,Часто задаваемые вопросы о путешествиях во времени,7.04,83,11016.0,2009,7.1,24310.0,"фантастика, комедия",Великобритания,,40.0,Frequently Asked Questions About Time Travel
272014,Женщины,6.155,114,8725.0,2008,4.9,15855.0,"драма, комедия",США,$16 000 000,13.0,The Women
272084,Prada и чувства,6.259,105,8523.0,2011,5.5,11660.0,"драма, мелодрама, комедия","Мексика, США",,21.0,From Prada to Nada
272127,Слепота,6.613,121,14394.0,2008,6.6,55934.0,"фантастика, триллер, драма, детектив","Канада, Бразилия, Япония",$25 000 000,43.0,Blindness
272220,Сидни Уайт,6.553,108,14133.0,2007,6.3,34609.0,"мелодрама, комедия",США,$16 500 000,37.0,Sydney White
272225,Война невест,6.832,89,57693.0,2009,5.4,76310.0,"мелодрама, комедия",США,$30 000 000,10.0,Bride Wars
272436,Братц,4.437,110,5574.0,2007,2.7,13983.0,"комедия, семейный, музыка",США,,9.0,Bratz
272616,Вздох,7.485,84,3279.0,2007,7.0,3685.0,драма,Корея Южная,KRW 370 000 000,,Soom
2727,Мой любимый марсианин,6.999,94,11322.0,1999,4.9,10480.0,"фантастика, комедия, семейный",США,$65 000 000,12.0,My Favorite Martian
273063,Планета страха,6.743,95,40781.0,2007,7.2,163256.0,"ужасы, фантастика, боевик, триллер, комедия, приключения",США,,77.0,Planet Terror
273064,Доказательство смерти,7.108,114,43955.0,2007,7.1,195216.0,"боевик, триллер, криминал",США,,67.0,Death Proof
273209,"Девочка, покорившая время",7.996,98,46439.0,2006,7.9,31674.0,"аниме, мультфильм, фантастика, драма, мелодрама, комедия",Япония,,87.0,Toki o kakeru shôjo
273293,Человек-волк,6.135,119,28229.0,2010,5.8,88238.0,"ужасы, триллер, драма",США,$150 000 000,34.0,The Wolfman
273302,Мгла,7.566,120,95041.0,2007,7.2,211802.0,"ужасы, фантастика, триллер",США,$18 000 000,73.0,The Mist
2738,Исповедь невидимки,7.24,99,6063.0,1992,5.9,16491.0,"фантастика, триллер, мелодрама, комедия","США, Франция",$40 000 000,23.0,Memoirs of an Invisible Man
273890,Железобетон,7.736,111,3626.0,2006,7.7,8251.0,"аниме, мультфильм, фантастика, боевик, криминал, приключения",Япония,$4 200 000,72.0,Tekkon kinkurîto
274192,100 футов,5.823,104,4214.0,2008,5.5,10174.0,"ужасы, триллер, детектив",США,$10 000 000,,100 Feet
