movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,genres,countries,description,poster,path
102245,Пекло,7.369,107,57109,2007,"фантастика, триллер, приключения","Великобритания, США","2057 год. Солнце погибает, и человечество сталкивается с перспективой вымирания. Последняя надежда планеты Земля связана с «Икаром 2» - космическим кораблем, экипаж которого состоит из восьми мужчин и женщин во главе с капитаном Канэдой. Их миссия – доставить ядерный заряд, с помощью которого предполагается повторно воспламенить гаснущее Солнце.

Во время путешествия, находясь далеко в космическом безмолвии, в отсутствии какого-либо радиоконтакта с Землей экипаж слышит слабые позывные сигналы с космического корабля «Икар 1», который пропал, выполняя семь лет назад ту же самую миссию.",https://kinopoiskapiunofficial.tech/images/posters/kp/102245.jpg,./static/clips/102245.mp4
5473,Драйв,7.368,100,5908,1997,"фантастика, боевик, комедия, приключения",США,"В порт Сан-Франциско из Гонконга прибывает грузовое судно, с загадочным пассажиром по имени Тоби Вонг на борту. Он бежит от корпорации Леунг, в поисках свободы в США. Однако Тоби преследует наемник Вик Мэдисон со своей командой по заданию мистера Лао, главы Леунг.",https://kinopoiskapiunofficial.tech/images/posters/kp/5473.jpg,./static/clips/5473.mp4
408939,Мамонт,7.367,125,3374,2009,драма,"Швеция, Дания, Германия","История успешной нью-йоркской семейной пары, чей ребенок больше привык проводить время со своей няней-филиппинкой, чем с родителями. В то время, как родной сын воспитательницы, которого она оставила дома, вынужден работать, чтобы скорее вернуть мать.",https://kinopoiskapiunofficial.tech/images/posters/kp/408939.jpg,./static/clips/408939.mp4
207010,Чудаки (сериал 2000 – 2002),7.367,22,4323,2000,"реальное ТВ, боевик, триллер, комедия",США,"Сериал представляет собой исполнение различных опасных, грубых, смехотворных и самоистязающих трюков и розыгрышей.",https://kinopoiskapiunofficial.tech/images/posters/kp/207010.jpg,./static/clips/207010.mp4
197488,Джуно,7.365,96,60940,2007,"драма, мелодрама, комедия",США,"Беременная старшеклассница Джуно находит приятную семейную пару, желающую усыновить ее нерожденного ребенка. Перед девушкой встают совсем не детские вопросы: Что делать? Что будет лучше для ее ребенка и как найти себя? Джуно принимает необычное решение...",https://kinopoiskapiunofficial.tech/images/posters/kp/197488.jpg,./static/clips/197488.mp4
13845,Астерикс и Обеликс против Цезаря,7.365,109,41435,1999,"фэнтези, комедия, приключения, семейный","Франция, Италия, Германия","В 50-м году до нашей эры римский император Юлий Цезарь покорил Галлию. Только жители одной маленькой деревеньки отказались платить налоги римлянам, ведь у них есть волшебный напиток, с помощью которого они с лёгкостью могут дать отпор римским легионам. А однажды неразлучные друзья Астерикс и Обеликс и вовсе бросают вызов самому Цезарю.",https://kinopoiskapiunofficial.tech/images/posters/kp/13845.jpg,./static/clips/13845.mp4
463893,В сердце моря,7.364,122,30194,2015,"боевик, триллер, драма, приключения, биография, история","США, Австралия, Испания, Великобритания, Канада","В 1819 году американский корабль «Эссекс» с командой из двух десятков человек на борту отправился из порта в штате Массачусетс на китобойный промысел. Осенью 1820-го охота была прервана атакой гигантского кашалота на судно, в результате чего морякам пришлось пересесть в шлюпки. В течение трех с лишним месяцев они боролись за выживание посреди океана…",https://kinopoiskapiunofficial.tech/images/posters/kp/463893.jpg,./static/clips/463893.mp4
577673,Место под соснами,7.364,140,51485,2012,"триллер, драма, криминал",США,"Мотокаскадер Люк Глэнтон совершает турне из одной провинции в другую, показывая свои каскадерские навыки и зарабатывая этим на жизнь. По окончании одного из своих выступлений он встречает свою бывшую девушку - Ромину, вскоре узнав, что у нее от него годовалый сын - Джейсон. Решив обеспечивать сына он бросает свою работу каскадера, однако Ромина против того, чтобы Люк был в жизни ее сына, поскольку она сама вовлечена в отношения с Кофи. Тем не менее, Люк остается в городе и устраивается на работу к механику Робину, но вскоре понимает, что заработанных денег не хватает для обеспечения семьи. Робин предлагает ему ограбить банк...",https://kinopoiskapiunofficial.tech/images/posters/kp/577673.jpg,./static/clips/577673.mp4
70954,В гости к Робинсонам,7.363,95,13113,2007,"мультфильм, фантастика, комедия, приключения, семейный",США,"Льюис растет без родителей и страстно мечтает найти свою семью. На счастье, у Льюиса неуемное воображение и поразительные способности к изобретению разных фантастических приспособлений. Из разных попавшихся под руку деталей он мастерит устройство для проявки воспоминаний, чтобы увидеть хотя бы лицо своей мамы, которая еще младенцем подбросила его в сиротский приют.

Но на школьной выставке, где Льюис должен представить свой сканер памяти в действии, происходит невероятное. Сначала Льюис знакомится со своим ровесником Уилбером, который представляется прилетевшим из будущего сотрудником «Службы контроля времени». А потом еще один пришелец, зловещий тип в черном котелке, похищает изобретение Льюиса и устраивает на выставке полнейший разгром. Чтобы поймать мошенника и вернуть все на свои места, ребята отправятся в будущее, где Льюиса ждет масса захватывающих приключений.

Он прокатится на машине времени, подружится с роботом Карлом, поучаствует в схватке со сторожевым динозавром, спасет весь мир от происков злодея и его котелка, а самое главное - познакомится с многочисленной, дружной и взбалмошной семейкой Робинсонов, и найдет в их лице долгожданных родственников.",https://kinopoiskapiunofficial.tech/images/posters/kp/70954.jpg,./static/clips/70954.mp4
784155,Гнездо дракона,7.362,90,3235,2014,"мультфильм, фэнтези, приключения, семейный",Китай,"Кто бы мог подумать, что всегда неуклюжий, но несомненно талантливый парень станет великим героем, который спасет свою красивейшую планету от пробудившегося зла?

Много лет, пока легендарный Черный дракон спал, земля Алтера хранила хрупкий мир между расами людей, эльфов и неведомых нашему миру животных. Когда же он пробудился, охваченные ужасом жители были вынуждены бежать сквозь остров в попытке найти спасение.

Наш герой Ламберт в компании своих пушистых компаньонов отправляется в путь полный веселых развлечений и приключений, встречая настоящих друзей и любовь в лице прекрасной эльфийской девочки. Объединившись, они находят тайную дорогу к пещере дракона, а юный воин выполняет возложенную на него важнейшую миссию: он входит в доверие к Черному Дракону, чтобы с честью и юмором выйти победителем.",https://kinopoiskapiunofficial.tech/images/posters/kp/784155.jpg,./static/clips/784155.mp4
472362,Миссия невыполнима: Протокол Фантом,7.362,132,72865,2011,"боевик, триллер, приключения","США, ОАЭ, Чехия","Специальный агент отряда «Миссия невыполнима» Итан Хант и его коллеги несправедливо обвинены в причастности к взрыву Кремля. Президент инициирует «Протокол Фантом», в результате которого спецподразделение ликвидировано, и Итан остается без какой-либо поддержки. Он намерен очистить свое доброе имя и предотвратить новую атаку, но делать это ему придется вместе с командой коллег, истинных мотивов которых он до конца не знает.",https://kinopoiskapiunofficial.tech/images/posters/kp/472362.jpg,./static/clips/472362.mp4
428134,Звуки шума,7.361,102,6018,2010,"триллер, мелодрама, комедия, криминал, музыка","Швеция, Франция","Амадей Варнебринг родился в музыкальной семье с многолетними традициями, воспитавшей немало великих музыкантов. Поскольку сам Амадей не имеет музыкального слуха и ненавидит музыку, он стал полицейским, и его новое задание — хуже не придумаешь. Шесть хулиганов, терроризируя мирных жителей и используя подручные предметы, начинают воплощать в жизнь серию перфомансов под названием «Музыка для одного города и шести барабанщиков».",https://kinopoiskapiunofficial.tech/images/posters/kp/428134.jpg,./static/clips/428134.mp4
88628,Возвращение Джафара (видео),7.36,69,5898,1994,"мультфильм, мюзикл, фэнтези, мелодрама, приключения, семейный",США,"Продолжение волшебной сказки об Аладдине. Вторая часть захватывающей трилогии о храбром уличном воришке начинается прямо там, где закончился первый мультфильм. Уже казалось бы, что черному чародею и новоявленному джинну Джафару суждено навеки остаться пленником волшебной лампы, - но ему удается освободиться! И на уме у коварного злодея лишь одно: он жаждет отомстить Аладдину.
А тем временем, в Аграбе жизнь идет своим чередом. Неунывающий проказник Джинн вернулся из кругосветного путешествия, и рассказывает друзьям невероятные истории о своих приключениях. Но счастье продлится недолго. Нашим героям вновь придется встретиться с Джафаром лицом к лицу, и им пригодится вся их магия и отвага.
Немало препятствий встанет на пути наших старых знакомых Аладдина, принцессы Джасмин, Абу, Коврика и (конечно же!) Джинна. Тут и сражения с ворами на летающих лошадях, и объятые пламенем клокочущие расщелины с лавой. Но отступить нельзя - ведь на кону судьба всего королевства!",https://kinopoiskapiunofficial.tech/images/posters/kp/88628.jpg,./static/clips/88628.mp4
6873,Полное затмение,7.36,111,10950,1995,"драма, мелодрама, биография","Франция, Великобритания, Бельгия","История сложных, страстных и в то же время двусмысленных взаимоотношений великих французских поэтов XIX века: Поля Верлена и юного Артюра Рембо. Внутри любовного треугольника разыгрывается подлинная трагедия…",https://kinopoiskapiunofficial.tech/images/posters/kp/6873.jpg,./static/clips/6873.mp4
376448,Футурама: В дикую зеленую даль (видео),7.359,90,7239,2009,"мультфильм, фантастика, боевик, комедия",США,"Реальная эпическая научно-фантастическая история, которая вовлекает персонажей в древнее сражение, длившееся на протяжении миллиардов лет, и наша команда, конечно, оказывается в её эпицентре...",https://kinopoiskapiunofficial.tech/images/posters/kp/376448.jpg,./static/clips/376448.mp4
506432,Кон-Тики,7.359,109,18423,2012,"приключения, биография, история","Норвегия, Великобритания, Дания, Германия, Швеция","История о всемирно известном путешественнике Туре Хейердале, совершившем в 1947 году эпическую экспедицию – пересечение Тихого океана на плоту Кон-Тики. Гигантские киты, схватки с голодными акулами, грозовой шторм, раздирающий ветер, битва за жизнь посреди бушующей стихии. Героям предстоит проявить немалую силу и трудолюбие, чтобы этот день не стал последним. Это невероятное путешествие навсегда изменит людей, которые рискнули в него отправиться.",https://kinopoiskapiunofficial.tech/images/posters/kp/506432.jpg,./static/clips/506432.mp4
829368,Прогулка,7.359,123,47782,2015,"триллер, драма, приключения, биография",США,"Вы боитесь высоты? А можете представить себя идущим по натянутому канату на высоте более 400 метров безо всякой страховки? Потоки ветра обдувают вас, а внизу — город и тысячи устремленных вверх взволнованных взглядов.

В 1974 году французский канатоходец Филипп Пети отважился совершить немыслимый трюк — пройти без страховки по канату, натянутому между нью-йоркскими башнями-близнецами.",https://kinopoiskapiunofficial.tech/images/posters/kp/829368.jpg,./static/clips/829368.mp4
51439,Поцелуй навылет,7.357,103,32505,2005,"комедия, криминал, детектив",США,"Незадачливый воришка Гарри со своим напарником грабят магазин детских игрушек, но из-за оплошности напарника срабатывает сигнализация, и героям приходится бежать. Гарри удается спастись от преследования полиции на прослушивании актёров, которое он с успехом проходит и попадает в Голливуд на вечеринку звёзд. Там он встречает детектива Перри, который приставлен к нему в напарники для закрепления актёрских навыков — им предстоит временно побыть детективами, чтобы Гарри лучше показал себя на финальном прослушивании.",https://kinopoiskapiunofficial.tech/images/posters/kp/51439.jpg,./static/clips/51439.mp4
51250,Страх и трепет,7.357,107,3104,2003,"мелодрама, комедия","Франция, Япония","Амели родилась в Японии, и хотя в возрасте пяти лет она вместе с родителям вернулась в Бельгию, ей всегда казалось, что Япония — её родина. Амели подписывает годовой контракт на работу переводчицей в японской корпорации, и ей кажется, что её мечта сбылась. Но вскоре девушка осознаёт, что несмотря на прекрасное знание японского языка ей ещё многое надо понять в японской культуре и особенностях отношения японцев к гайдзинам.",https://kinopoiskapiunofficial.tech/images/posters/kp/51250.jpg,./static/clips/51250.mp4
